"title","content","articles","url"
"Elon Musk says a new Twitter CEO is starting in six weeks","Musk will be CTO and executive chair.","Elon Musk says a new Twitter CEO is starting in six weeks
Musk will be CTO and executive chair.
REUTERS/Dado Ruvic
Jon Fingas|@jonfingas|May 11, 2023 3:55 PM

Elon Musk is making good on his promise to step down as Twitter CEO following a poll. He announced on Thursday that a replacement chief executive will start in roughly six weeks. While he hasn't identified the new leader by name, he indicated he had hired a woman for the role. Musk will stay on as executive chairman and chief technical officer covering ""product, software and sysops.""

Hours after Musk's announcement, The Wall Street Journal reported that NBCUniversal advertising exec Linda Yaccarino ""is in talks"" to take over the CEO role at Twitter. Yaccarino is known for being an ""industry advocate for finding better ways to measure the effectiveness of advertising,"" according to The Journal. Twitter didn't respond to a request for comment, but Yaccarino and Musk are apparently on good terms. 

The two have appeared together at ad industry events, and Yaccarino has spoken favorably of Musk. NBCU also has significant partnerships with Twitter, recently renewing its partnership to host video from the 2024 Olympics on Twitter. And, as AdAge recently pointed out, Yaccarino tweeted at Musk that Twitter should bring back Periscope, calling it ""an idea for our new partnership.""

Excited to announce that I’ve a new CEO for X/Twitter. She will be starting in ~6 weeks!

My role will transition to being exec chair & CTO, overseeing product, software & sysops.

— Elon Musk (@elonmusk) May 11, 2023

Musk said in December that he would honor the results of a poll asking whether or not he should bow out. He didn't give a timeline, but did say he would leave as soon as he found someone ""foolish enough to take the job."" He also said he would relegate himself to running software and server teams. He has also abided by the outcomes of other polls for major decisions.

Subscribe to the Engadget Deals Newsletter

Great deals on consumer electronics delivered straight to your inbox, curated by Engadget’s editorial team. See latest

Subscribe

By subscribing, you are agreeing to Engadget's Terms and Privacy Policy.

His tenure has been chaotic since it began in October. He made a point of firing the executive team and dissolving the board of directors. Most rank-and-file employees from before the purchase have either been laid off or quit. Twitter's looser content moderation policies under Musk, which have focused on limiting reach rather than bans, have earned praise from some circles but have also prompted an exodus of advertisers that don't want to risk running ads next to hate speech and misinformation. The social network has tried to shift more of its revenue toward subscriptions, but may have had only limited success.

It's not clear how much practical control Musk will have following the leadership shuffle. While he'll no longer be CEO, he'll still have significant influence over Twitter's technology. And given that Musk played a role in finding a replacement, the new hire might not be quick to change strategy. Don't be shocked if Twitter maintains the Musk-era status quo, at least for a while.

This could assuage the fears of some Tesla investors. They've worried that Musk has been distracted from work at his best-known company by focusing on Twitter. With his reduced role, he'll theoretically have more time to devote to his EV brand as it faces mounting competition.

Update 5/11 4:58 PM PT: This story has been updated to reflect reports that NBCU exec Linda Yaccarino is in the running for the CEO role. 

All products recommended by Engadget are selected by our editorial team, independent of our parent company. Some of our stories include affiliate links. If you buy something through one of these links, we may earn an affiliate commission. All prices are correct at the time of publishing.
View All Comments
news
gear
Twitter
internet
social media
social networking
elon musk","https://www.engadget.com/elon-musk-says-a-new-twitter-ceo-is-starting-in-six-weeks-195504511.html"
"Bose's QuietComfort Earbuds II are on sale for $249 right now","The QuietComfort 45 headphones are also on sale.","Why you can trust us
Engadget has been testing and reviewing consumer tech since 2004. Our stories may include affiliate links; if you buy something through a link, we may earn a commission. Read more about how we evaluate products.
Bose's QuietComfort Earbuds II are on sale for $249 right now
The QuietComfort 45 headphones are also on sale.
Photo by Billy Steele/Engadget
Jon Fingas|@jonfingas|May 12, 2023 9:12 AM

Now's the time to go shopping if you've been tempted by Bose's QuietComfort Earbuds II but were put off by the high initial price. As part of a broader sale on Bose products, Amazon is selling the premium wireless earbuds for $249, or $50 off. That's the best price we've seen all year, and puts them into more direct competition with the AirPods Pro and similar rivals. If you prefer over-ear headphones, the QuietComfort 45 headphones are down to $279.

Bose
QuietComfort Earbuds II

Bose's premium wireless earbuds are at their best price this year.

$249 at Amazon

The QuietComfort Earbuds II are a good choice if you value active noise cancellation (ANC) first and foremost. It's strong enough that you can block even loud noises — ideal for a flight or train ride. The buds have a more dynamic and open sound than their predecessors, and they're more comfortable than before. If you mainly listen to music to escape the pressures of everyday life, they're worth considering.

There are caveats. You won't find multipoint connectivity or wireless charging like you do with other wireless earbuds in this class. Call quality is mediocre, too. It's still hard to top the ANC performance, though, and the sale price eliminates our main objection to Bose's offering.

Follow @EngadgetDeals on Twitter and subscribe to the Engadget Deals newsletter for the latest tech deals and buying advice.

View All Comments
thebuyersguide
Bose
news
gear
engadgetdeals
Shopping
quietcomfort earbuds 2
commerce
streamshopping","https://www.engadget.com/boses-quietcomfort-earbuds-ii-are-on-sale-for-249-right-now-131202156.html"
"Apple Silicon Macs now natively support Unreal Engine 5","Until now, developers and gamers had to run it through Rosetta.","Apple Silicon Macs now natively support Unreal Engine 5
Until now, developers and gamers had to run it through Rosetta.
Epic Games
Steve Dent|@stevetdent|May 12, 2023 8:42 AM

Fortnite creator Epic Games' Unreal Engine 5 allows anyone to quickly build 3D worlds, so it's great not just for games, but Hollywood virtual sets and more. Until now, recent Mac users have relied on Rosetta technology to run it, but Epic has just released a new update, version 5.2, that works natively on Apple Silicon. That should allow for significantly improved performance on M1 and M2 Macs. 

There's more news for Apple users as well. Epic unveiled a new iPad app (below) for virtual productions that works with the Unreal Engine's ICVFX (In-Camera VFX) editor. It offers ""an intuitive touch-based interface for stage operations such as color grading, light card placement, and nDisplay management tasks from anywhere within the LED volume,"" the company said. In other words, it lets DPs, VFX folks and others tweak lighting and more on virtual sets from a simple, portable interface.

Epic Games

The update is interesting in the context of Apple's antitrust dispute with Epic Games over Fortnite commissions on the App Store. Apple largely won that fight, as an appeal panel found that the company wasn't a monopolist in the distribution of iOS apps. Back in 2020, Apple tried to suspend Epic Games' developer account, but that move was later blocked by a judge. 

Other new features introduced with the Unreal Engine 5.2 update include a ""Procedural Content Generation framework"" that lets you populate large scenes with the Unreal Engine assets of your choice, making it faster to build large worlds. And another feature called Substrate allows material creation with more control over the look and feel of objects used in in real-time applications like games or for linear content creation. Epic demonstrated that using its previous Rivian demo, giving a metallic-looking paint job to the R1T electric pickup.                                                                                                                         

View All Comments
news
gear
Unreal Engine 5
Mac
Epic
desktop computing
Apple Silicon","https://www.engadget.com/apple-silicon-macs-now-natively-support-unreal-engine-5-124257710.html"
"Engadget Podcast: Pixel Fold, Google I/O and 'Zelda: Tears of the Kingdom'","Google definitely doesn't want to be left behind with AI.","Engadget Podcast: Pixel Fold, Google I/O and 'Zelda: Tears of the Kingdom'
Google definitely doesn't want to be left behind with AI.
Engadget
Devindra Hardawar|@devindra|May 12, 2023 8:30 AM

It’s a huge week for news: Google I/O happened, and we finally got a close look at the Pixel Fold and the company’s latest AI plans. Engadget Deputy Editor Nathan Ingraham also joins to discuss his review of The Legend of Zelda: Tears of the Kingdom, the follow-up to one of the greatest games ever made. (No pressure, Nate!) We also chat about Nintendo’s confirmation that it won’t be announcing any new hardware until next year, and the perils of chatbots serving as the latest avatars for Hindu gods in India.

Listen below or subscribe on your podcast app of choice. If you've got suggestions or topics you'd like covered on the show, be sure to email us or drop a note in the comments! And be sure to check out our other podcasts, the Morning After and Engadget News!

Subscribe!

iTunes

Spotify

Pocket Casts

Stitcher

Google Podcasts


Topics

Google’s Pixel Fold was finally announced (it’s $1,799) – 1:25

Also announced at Google I/O: a ton of Bard integration in search, Pixel Tablet and Pixel 7a – 14:43

Nate Ingraham’s Legend of Zelda: Tears of the Kingdom review – 39:29

Nintendo says no new hardware will be announced this year – 52:51

Roku is doing home security now – 56:40

AI Updates: Religious chatbots run the risk of sparking violence in India – 58:12

Working on – 1:03:45

Pop culture picks – 1:05:43

Livestream

Credits
Hosts: Devindra Hardawar and Nathan Ingraham
Producer: Ben Ellman
Music: Dale North and Terrence O'Brien
Livestream producers: Julio Barrientos
Graphic artist: Luke Brooks and Joel Chokkattu

All products recommended by Engadget are selected by our editorial team, independent of our parent company. Some of our stories include affiliate links. If you buy something through one of these links, we may earn an affiliate commission. All prices are correct at the time of publishing.
i
This content is not available due to your privacy preferences. Update your settings here, then reload the page to see it.
news
gear
Google
Tears of the Kingdom
Engadget Podcast
Google IO 2023
Pixel Fold
Nintendo","https://www.engadget.com/engadget-podcast-pixel-fold-zelda-tears-of-kingdom-123028977.html"
"Anthropic says its Claude AI can now read a whole book in under a minute","Claude's context window has been upgraded to 100,000 tokens.","Anthropic says its Claude AI can now read a whole book in under a minute
Claude's context window has been upgraded to 100,000 tokens.
Евгения Матвеец via Getty Images
Mariella Moon|@mariella_moon|May 12, 2023 8:01 AM

Anthropic says it has vastly expanded the amount of information its generative AI, Claude, is able to process. Claude has gone from having a limit of 9,000 tokens to 100,000 tokens, which corresponds to roughly 75,000 words. That's a full novel. To put that into perspective, Claude now has the ability to easily read and finish Ernest Hemingway's A Farewell to Arms (74,240 words), Mary Shelley's Frankenstein (74,800 words) and Mark Twain's The Adventures of Tom Sawyer (69,000 words). And, as The Verge notes, the company says Claude can read and analyze information from each book in under a minute. 

Generative AIs like Claude are still limited by the number of ""tokens"" they can process. As OpenAI explains in its help page, you can think of tokens as pieces of words. The AI cuts up words for processing, and they're not always chopped up from the start to the end of each word, since spaces and other characters are also included. At the moment, OpenAI's standard GPT-4 model is capable of processing 8,000 tokens, while an extended version can process 32,000 tokens. Meanwhile, its publicly available ChatGPT chatbot has a limit of around 4,000 tokens. 

Now Claude has a much wider context window than all of them. According to Anthropic, it loaded Great Gatsby onto the AI during testing and modified a single line to say Mr. Carraway was ""a software engineer that works on machine learning tooling at Anthropic."" Claude was able to spot how the book was modified within 22 seconds. 

The AI's expanded context window is now available to Anthropic's business partners who are using its API. Anthropic says the capability will help businesses quickly digest and summarize lengthy financial statements and research papers, assess pieces of legislation, identify risks and arguments across legal documents and comb through dense developer documentation, among other possible tasks. 

View All Comments
news
gear
generative AI
Anthropic","https://www.engadget.com/anthropic-says-its-claude-ai-can-now-read-a-whole-book-in-under-a-minute-120114018.html"
"Tinder is eliminating social media handles from public bios","The dating app is trying to remove opportunities for users to advertise or self-promote.","Tinder is eliminating social media handles from public bios
The dating app is trying to remove opportunities for users to advertise or self-promote.
NurPhoto via Getty Images
Sarah Fielding|May 12, 2023 6:30 AM

Tinder is for finding love — or at least a temporary connection — but the app’s backers aren’t interested in helping people expand their connections beyond the narrow confines of its own jurisdiction. The company says that it has identified an issue with users turning their profiles into spaces for “making money,” and will scrub social handles from public profiles, as well as tweaking its community guidelines to prohibit the sharing of usernames or references to other outbound links. In a statement rich in euphemism, the platform reminds users not to “advertise, promote social handles or links to gain followers, sell things, fundraise or campaign,"" which we suspect includes users who add their Linktree username to guide people toward online stores or content marketplaces.

The policy change comes as part of a series of updated community guidelines that Tinder claims will “reinforce authenticity, respect and inclusivity.” Besides the social handle removal, most of the policies are requests to users, such as telling people to respect boundaries and not to share private chats in a public setting. The dating app points to its younger membership (most users are 18 to 25) as motivation for making these appeals. “To guide these younger daters as they start their dating journey, Tinder is using this policy refresh to remind and educate members about healthy dating habits — both online and in real life,” Ehren Schlue, SVP of Member Strategy at Tinder, said in a statement.

It’s unclear how exactly Tinder plans to scrub social handles from bios or prevent people from sharing them in chats instead. The company encourages users to report anyone violating the rule, but a quick bio share over messages might not motivate anyone to do so. Removing social handles also interferes with people who share them to circumvent swipe limits or remove the need to match. Plus, there's the issue of determining if a person is who they say they are. Alongside the social handles announcement, Tinder reminds people to be honest and not create fake personas. But, without any access to a person’s social media, it might be harder to know for sure. 

View All Comments
news
gear
tinder","https://www.engadget.com/tinder-is-eliminating-social-media-handles-from-public-bios-103001873.html"
"WiZ's motion-sensing smart lights can now monitor your home","It uses WIFi to detect movement.","WiZ's motion-sensing smart lights can now monitor your home
It uses WIFi to detect movement.
Wiz
Steve Dent|@stevetdent|May 12, 2023 6:03 AM

WiZ has unveiled a new home monitoring system that uses its existing motion-sensing WiFi smart bulbs in combination with Wiz's new $70 (€90) Indoor Camera. It takes of advantage of WiZ's ""SpaceSensing"" feature to detect changes in WiFi signals caused by movement, then sends an alert to the app warning you of any potential home intruders. You can then check the camera to see what's happening, while the smart bulbs can flash at intruders to scare them off. 

Similar tech has been employed by Linksys' Velop mesh routers, which send motion detection alerts to the app. While not as powerful as a full security system with dedicated sensors, WiFi sensing is a decent, and much cheaper and simpler alternative. The Indoor Camera records in 1080p and has a 120-degree field of view, along with infrared night vision, image-based motion detection and two-way audio thanks to a built-in microphone.

isma yunta/Wiz

To install it, all you need to do is find a spot for the camera and screw Wiz's A19 full-color smart lightbulbs into you existing lamps or outlets. From there, if the alarm is triggered by motion, the lights can be set to flash to let intruders know they've been flushed out. At the same time, the system sends alerts to the new WiZ V2 app, and you can even set it to only monitor certain areas of your home. 

It even lets you program routines that control the lights and monitoring, which can be set on a schedule or enabled on the app. And of course, you can use your smart bulbs as you normally might in a smart home, activating them with voice commands, the app and more. For instance, you can set them to turn on and off at random to give the impression that someone's home. 

Subscribe to the Engadget Deals Newsletter

Great deals on consumer electronics delivered straight to your inbox, curated by Engadget’s editorial team. See latest

Subscribe

By subscribing, you are agreeing to Engadget's Terms and Privacy Policy.

It comes in a €160 bundle called the WiZ Home Monitoring Starter kit, which gives you three WiZ A19 full-color smart bulbs and the Indoor Camera. You can record footage locally via an onboard microSD card, or subscribe to cloud storage and get up to 30 days of recordings (all footage is end-to-end encrypted, WiZ promises). The company has promised that 80-90 percent of its current smart lights and home products will be compatible. The kit launches in Europe on June 15th, but there's no US release date or pricing yet.

View All Comments
motion sensing
WiFi
news
gear
Wiz
security
smart lights
smart home","https://www.engadget.com/wizs-motion-sensing-smart-lights-can-now-monitor-your-home-100312758.html"
"Twitch’s new clip editor makes it easier to create vertical videos","Creators can now easily share snippets of their streams on mobile-first social networks.","Twitch’s new clip editor makes it easier to create vertical videos
Creators can now easily share snippets of their streams on mobile-first social networks.
Twitch
Mariella Moon|@mariella_moon|May 12, 2023 5:29 AM

Twitch has a new clip editor that will make it much, much easier for streamers to promote their content across platforms that put a focus on mobile users. Streamers will find the new editor under the clip manager in their creator dashboard. As TechCrunch notes, clicking ""edit and share clip"" will open a tool that'll give them an easy way to create vertical video clips. They can choose to create a video that shows one portion of their stream in full or to create a clip that splits the view between their stream and their camera. Either way, they're getting a vertical video they can share. 

Edit & Share Vertical Clips 🎬

It’s easier than ever to create social media videos of your best moments with the new Clip Editor!
📱Convert clips to portrait mode
💜 Add your username
🔗 Share to YouTube Shorts & more

Rolling out to everyone this week in the Clips Manager pic.twitter.com/VNu9fYZJmy

— Twitch (@Twitch) May 11, 2023

There's also a toggle at the bottom of the editor they can switch on to add their channel name to the clip. After they decide on what their video snippet will look like, they can then either download it or share it straight to YouTube Shorts with a title and a description that they'd written. While the feature only comes with YouTube integration right now, Twitch seems to have plans to add quick sharing for other platforms in the future. For now, creators will have to manually upload their videos if they want to promote their streams through Instagram Reels, Snapchat and TikTok. The still entails a bit more work than sharing on YouTube Shorts, but by doing so, they're putting themselves in front of more potential viewers who could end up being loyal subscribers. 

The new vertical clip editor is making its way to all users' clip manager this week. 

View All Comments
news
gaming
YouTube Shorts
Twitch
social media","https://www.engadget.com/twitchs-new-clip-editor-makes-it-easier-to-create-vertical-videos-092950134.html"
"Abbey Games unveils sequel to god simulation game 'Reus'","You can now add it to your Steam wishlist.","Abbey Games unveils sequel to god simulation game 'Reus'
You can now add it to your Steam wishlist.
Abbey Games
Mariella Moon|@mariella_moon|May 12, 2023 1:38 AM

Abbey Games has officially revealed that a sequel to its indie god sim Reus is ""on the way,"" almost a full decade after the original came out for Windows PCs. The original game received mostly favorable reviews after it shipped, and the developer sold over one million copies worldwide. Abbey Games founders Maarten Wiedenhof, Manuel Kerssemakers and Adriaan Jansen said: ""The original Reus is a decade old, and much has changed in the gaming world. We're excited to bring Reus 2 to this new era, and show what it can bring to all those who want to create their own perfect world!"" 

In Reus 2, players will have the ability to create multiple planets as their elemental giant god characters. They can shape those planets however they want to see how the people that live there would react to the unique landscapes that surround them and the challenges they encounter. And by ""challenges they encounter,"" we mean whatever the player decides to put them through. Hey, it's a god sim — players can choose to make it easy for the people living on one planet and then put another planet's population through the wringer. They can even stage an apocalypse and start anew. Aren't you glad we're not living in a simulation? (...Or are we?)

The developer says Reus 2 is still currently in development. It doesn't have a release date yet, but those interested can now add it to their Steam wishlist. 

All products recommended by Engadget are selected by our editorial team, independent of our parent company. Some of our stories include affiliate links. If you buy something through one of these links, we may earn an affiliate commission. All prices are correct at the time of publishing.
View All Comments
news
gaming
games","https://www.engadget.com/abbey-games-unveils-sequel-to-god-simulation-game-reus-053804152.html"
"FCC blocks robocall middleman One Eye from future campaigns","The company allowed overseas scams, including impersonating financial institutions.","FCC blocks robocall middleman One Eye from future campaigns
The company allowed overseas scams, including impersonating financial institutions.
ASSOCIATED PRESS
Will Shanklin|May 11, 2023 5:15 PM

The Federal Communications Commission (FCC) today ordered voice service providers to block the global gateway provider One Eye. The FCC says the company, which serves as an “on-ramp” to US phone networks from outside the country, enabled robocall scams like impersonating a major financial institution and calls about bogus “preauthorized orders” placed in consumers’ names. The Biden administration’s FCC has focused on increasing its ability to enforce robocalls. “This company — what’s left of it — will now have a place in robocall history,” said FCC Chairwoman Jessica Rosenworcel. “We can and will continue to shut off providers that help scammers.”

Today’s order is the culmination of an escalating series of actions by the FCC to stop One Eye from facilitating shady robocall campaigns. First, the agency cited the company’s predecessor, PZ/Illum Telecommunication, for transmitting illegal robocalls. Then, in a cease-and-desist letter sent in February, the FCC’s Enforcement Bureau warned the newly minted One Eye that its rebranding wouldn’t help it avoid consequences while alerting it that a failure to comply would lead to a permanent block. (On the same day, it cautioned US voice providers about One Eye’s activity.) Finally, it sent an “initial determination order” in April, another step toward the block it ultimately issued today.

The FCC’s statement doesn’t specify where One Eye’s headquarters are. The February cease-and-desist letter was addressed to a registered LLC in Delaware, but that could merely be a US branch of a global operation based elsewhere.

The block has teeth thanks to the FCC’s Gateway Provider Order issued in May 2022. It laid out a new list of requirements for companies routing foreign calls to the US, including (among others) caller ID authentication using the STIR / SHAKEN framework, submitting certification plans, responding to traceback requests within 24 hours and blocking illegal traffic when notified by the FCC. 

Subscribe to the Engadget Deals Newsletter

Great deals on consumer electronics delivered straight to your inbox, curated by Engadget’s editorial team. See latest

Subscribe

By subscribing, you are agreeing to Engadget's Terms and Privacy Policy.

“The Enforcement Bureau team has built a fair, transparent, but tough process by which we can essentially shut down access to U.S. communications networks by companies such as One Eye that are targeting consumers with illegal robocalls,” said Enforcement Bureau Chief Loyaan Egal. “Today’s action demonstrates another cutting-edge tool in our robocall enforcement options and represents a landmark date in our efforts to protect consumers from scam calls.”

View All Comments
news
fcc
gear
telecoms
robocall","https://www.engadget.com/fcc-blocks-robocall-middleman-one-eye-from-future-campaigns-211509369.html"
